Census Tract,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X1*X5,X4*X5,X5*X6,X5*X8
73,155032,0.09164,0,10.81,0,4.13,6.065,7.8,1.66531,1.38629,305,19.2,5.52,0.3784732,0,25.04845,6.8777303
74,213065,0.19539,0,10.81,0,4.13,6.245,6.2,1.66531,1.38629,305,19.2,7.54,0.8069607,0,25.79185,6.8777303
75,204777,0.07896,0,12.83,0,4.37,6.273,6,1.44727,1.60944,398,18.7,6.78,0.3450552,0,27.41301,6.3245699
76,177438,0.09512,0,12.83,0,4.37,6.286,45,1.50465,1.60944,398,18.7,8.94,0.4156744,0,27.46982,6.5753205
77,142139,0.10153,0,12.83,0,4.37,6.279,74.5,1.39926,1.60944,398,18.7,11.97,0.4436861,0,27.43923,6.1147662
78,112733,0.08707,0,12.83,0,4.37,6.14,45.8,1.40867,1.60944,398,18.7,10.27,0.3804959,0,26.8318,6.1558879
80,136729,0.08387,0,12.83,0,4.37,5.874,36.6,1.50465,1.60944,398,18.7,9.1,0.3665119,0,25.66938,6.5753205
82,121262,0.04462,25,4.86,0,4.26,6.619,70.4,1.68653,1.38629,281,19,7.22,0.1900812,0,28.19694,7.1846178
84,179167,0.03551,25,4.86,0,4.26,6.167,46.7,1.68653,1.38629,281,19,7.51,0.1512726,0,26.27142,7.1846178
85,136927,0.05059,0,4.49,0,4.49,6.389,48,1.56431,1.09861,247,18.5,9.62,0.2271491,0,28.68661,7.0237519
86,192989,0.05735,0,4.49,0,4.49,6.63,56.1,1.49014,1.09861,247,18.5,6.53,0.2575015,0,29.7687,6.6907286
87,130174,0.05188,0,4.49,0,4.49,6.015,45.1,1.48777,1.09861,247,18.5,12.86,0.2329412,0,27.00735,6.6800873
88,170093,0.07151,0,4.49,0,4.49,6.121,56.8,1.32111,1.09861,247,18.5,8.44,0.3210799,0,27.48329,5.9317839
90,294954,0.05302,0,3.41,0,4.89,7.079,63.1,1.22803,0.69315,270,17.8,5.7,0.2592678,0,34.61631,6.0050667
91,191010,0.04684,0,3.41,0,4.89,6.417,66.1,1.12891,0.69315,270,17.8,8.81,0.2290476,0,31.37913,5.5203699
92,101695,0.03932,0,3.41,0,4.89,6.405,73.9,1.12885,0.69315,270,17.8,8.2,0.1922748,0,31.32045,5.5200765
93,283788,0.04203,28,15.04,0,4.64,6.442,53.6,1.29907,1.38629,270,18.2,8.16,0.1950192,0,29.89088,6.0276848
94,188441,0.02875,28,15.04,0,4.64,6.211,28.9,1.29907,1.38629,270,18.2,6.21,0.1334,0,28.81904,6.0276848
96,215781,0.12204,0,2.89,0,4.45,6.625,57.8,1.25139,0.69315,276,18,6.65,0.543078,0,29.48125,5.5686855
97,154608,0.11504,0,2.89,0,4.45,6.163,69.6,1.25139,0.69315,276,18,11.34,0.511928,0,27.42535,5.5686855
98,286623,0.12083,0,2.89,0,4.45,8.069,76,1.25139,0.69315,276,18,4.21,0.5376935,0,35.90705,5.5686855
99,316568,0.08187,0,2.89,0,4.45,7.82,36.9,1.25139,0.69315,276,18,3.57,0.3643215,0,34.799,5.5686855
100,254707,0.0686,0,2.89,0,4.45,7.416,62.5,1.25139,0.69315,276,18,6.19,0.30527,0,33.0012,5.5686855
101,226642,0.14866,0,8.56,0,5.2,6.727,79.9,1.02166,1.60944,384,20.9,9.42,0.773032,0,34.9804,5.312632
102,206146,0.11432,0,8.56,0,5.2,6.781,71.3,1.04946,1.60944,384,20.9,7.67,0.594464,0,35.2612,5.457192
103,129731,0.22876,0,8.56,0,5.2,6.405,85.4,0.99868,1.60944,384,20.9,10.63,1.189552,0,33.306,5.193136
104,109789,0.21161,0,8.56,0,5.2,6.137,87.4,0.99868,1.60944,384,20.9,13.44,1.100372,0,31.9124,5.193136
105,125032,0.1396,0,8.56,0,5.2,6.167,90,0.88418,1.60944,384,20.9,12.33,0.72592,0,32.0684,4.597736
106,114917,0.13262,0,8.56,0,5.2,5.851,96.7,0.74522,1.60944,384,20.9,16.47,0.689624,0,30.4252,3.875144
107,158475,0.1712,0,8.56,0,5.2,5.836,91.9,0.79344,1.60944,384,20.9,18.66,0.89024,0,30.3472,4.125888
108,125933,0.13116,0,8.56,0,5.2,6.127,85.2,0.75255,1.60944,384,20.9,14.09,0.682032,0,31.8604,3.91326
109,166529,0.12802,0,8.56,0,5.2,6.474,97.1,0.88908,1.60944,384,20.9,12.27,0.665704,0,33.6648,4.623216
110,186040,0.26363,0,8.56,0,5.2,6.229,91.2,0.93417,1.60944,384,20.9,15.55,1.370876,0,32.3908,4.857684
111,200747,0.10793,0,8.56,0,5.2,6.195,54.4,1.02166,1.60944,384,20.9,13,0.561236,0,32.214,5.312632
112,167715,0.10084,0,10.01,0,5.47,6.715,81.6,0.98488,1.79176,432,17.8,10.16,0.5515948,0,36.73105,5.3872936
113,159676,0.12329,0,10.01,0,5.47,5.913,92.9,0.85586,1.79176,432,17.8,16.21,0.6743963,0,32.34411,4.6815542
114,121357,0.22212,0,10.01,0,5.47,6.092,95.4,0.93531,1.79176,432,17.8,17.09,1.2149964,0,33.32324,5.1161457
115,181342,0.14231,0,10.01,0,5.47,6.254,84.2,0.81381,1.79176,432,17.8,10.45,0.7784357,0,34.20938,4.4515407
116,176526,0.17134,0,10.01,0,5.47,5.928,88.2,0.90142,1.79176,432,17.8,15.76,0.9372298,0,32.42616,4.9307674
117,155347,0.13158,0,10.01,0,5.47,6.176,72.5,1.00434,1.79176,432,17.8,12.04,0.7197426,0,33.78272,5.4937398
118,84633,0.15098,0,10.01,0,5.47,6.021,82.6,1.01065,1.79176,432,17.8,10.3,0.8258606,0,32.93487,5.5282555
119,161144,0.13058,0,10.01,0,5.47,5.872,73.1,0.90725,1.79176,432,17.8,15.37,0.7142726,0,32.11984,4.9626575
120,149837,0.14476,0,10.01,0,5.47,5.731,65.2,1.01494,1.79176,432,17.8,13.61,0.7918372,0,31.34857,5.5517218
121,260764,0.06899,0,25.65,0,5.81,5.87,69.7,0.81435,0.69315,188,19.1,14.37,0.4008319,0,34.1047,4.7313735
122,181769,0.07165,0,25.65,0,5.81,6.004,84.1,0.78727,0.69315,188,19.1,14.27,0.4162865,0,34.88324,4.5740387
123,144861,0.093,0,25.65,0,5.81,5.961,92.9,0.73568,0.69315,188,19.1,17.93,0.54033,0,34.63341,4.2743008
124,105435,0.15038,0,25.65,0,5.81,5.856,97,0.66495,0.69315,188,19.1,25.41,0.8737078,0,34.02336,3.8633595
125,141211,0.09849,0,25.65,0,5.81,5.879,95.8,0.69629,0.69315,188,19.1,17.58,0.5722269,0,34.15699,4.0454449
126,135454,0.16902,0,26.65,0,5.81,5.986,88.4,0.68959,0.69315,188,19.1,14.81,0.9820062,0,34.77866,4.0065179
127,126713,0.38735,0,25.65,0,5.81,5.613,95.6,0.56372,0.69315,188,19.1,27.26,2.2505035,0,32.61153,3.2752132
128,106760,0.25915,0,21.89,0,6.24,5.693,96,0.58126,1.38629,437,21.2,17.19,1.617096,0,35.52432,3.6270624
129,95657,0.32543,0,21.89,0,6.24,6.431,98.8,0.59471,1.38629,437,21.2,15.39,2.0306832,0,40.12944,3.7109904
130,164735,0.88125,0,21.89,0,6.24,5.637,94.7,0.68305,1.38629,437,21.2,18.34,5.499,0,35.17488,4.262232
131,108050,0.34006,0,21.89,0,6.24,6.458,98.9,0.75071,1.38629,437,21.2,12.6,2.1219744,0,40.29792,4.6844304
132,118490,1.19294,0,21.89,0,6.24,6.326,97.7,0.82022,1.38629,437,21.2,12.26,7.4439456,0,39.47424,5.1181728
133,89013,0.59005,0,21.89,0,6.24,6.372,97.9,0.84475,1.38629,437,21.2,11.12,3.681912,0,39.76128,5.27124
134,89450,0.32982,0,21.89,0,6.24,5.822,95.4,0.90418,1.38629,437,21.2,15.03,2.0580768,0,36.32928,5.6420832
135,118673,0.97617,0,21.89,0,6.24,5.757,98.4,0.85271,1.38629,437,21.2,17.31,6.0913008,0,35.92368,5.3209104
136,155130,0.55778,0,21.89,0,6.24,6.335,98.2,0.74702,1.38629,437,21.2,16.96,3.4805472,0,39.5304,4.6614048
138,126417,0.35233,0,21.89,0,6.24,6.454,98.4,0.61508,1.38629,437,21.2,14.59,2.1985392,0,40.27296,3.8380992
139,98947,0.2498,0,21.89,0,6.24,5.857,98.2,0.51198,1.38629,437,21.2,21.32,1.558752,0,36.54768,3.1947552
140,97557,0.54452,0,21.89,0,6.24,6.151,97.9,0.51204,1.38629,437,21.2,18.46,3.3978048,0,38.38224,3.1951296
141,84946,0.2909,0,21.89,0,6.24,6.174,93.6,0.47741,1.38629,437,21.2,24.16,1.815216,0,38.52576,2.9790384
142,105879,1.62864,0,21.89,0,6.24,5.019,100,0.36423,1.38629,437,21.2,34.41,10.1627136,0,31.31856,2.2727952
144,83760,4.0974,0,19.58,0,8.71,5.468,100,0.34487,1.60944,403,14.7,26.42,35.688354,0,47.62628,3.0038177
145,120369,2.77974,0,19.58,0,8.71,4.903,97.8,0.29706,1.60944,403,14.7,29.29,24.2115354,0,42.70513,2.5873926
146,84592,2.37934,0,19.58,0,8.71,6.13,100,0.35002,1.60944,403,14.7,27.8,20.7240514,0,53.3923,3.0486742
147,112723,2.15505,0,19.58,0,8.71,5.628,100,0.41647,1.60944,403,14.7,16.65,18.7704855,0,49.01988,3.6274537
148,92230,2.36862,0,19.58,0,8.71,4.926,95.7,0.37898,1.60944,403,14.7,29.53,20.6306802,0,42.90546,3.3009158
149,83504,2.33099,0,19.58,0,8.71,5.186,93.8,0.42501,1.60944,403,14.7,28.32,20.3029229,0,45.17006,3.7018371
150,70612,2.73397,0,19.58,0,8.71,5.597,94.9,0.42245,1.60944,403,14.7,21.45,23.8128787,0,48.74987,3.6795395
151,147622,1.6566,0,19.58,0,8.71,6.122,97.3,0.48119,1.60944,403,14.7,14.1,14.428986,0,53.32262,4.1911649
152,146359,1.49632,0,19.58,0,8.71,5.404,100,0.46474,1.60944,403,14.7,13.28,13.0329472,0,47.06884,4.0478854
153,113972,1.12658,0,19.58,1,8.71,5.012,88,0.47636,1.60944,403,14.7,12.12,9.8125118,8.71,43.65452,4.1490956
154,129870,2.14918,0,19.58,0,8.71,5.709,98.5,0.4844,1.60944,403,14.7,15.79,18.7193578,0,49.72539,4.219124
155,106094,1.41385,0,19.58,1,8.71,6.129,96,0.55927,1.60944,403,14.7,15.12,12.3146335,8.71,53.38359,4.8712417
156,172323,3.53501,0,19.58,1,8.71,6.152,82.6,0.55704,1.60944,403,14.7,15.02,30.7899371,8.71,53.58392,4.8518184
157,79355,2.44668,0,19.58,0,8.71,5.272,94,0.55181,1.60944,403,14.7,16.14,21.3105828,0,45.91912,4.8062651
158,293196,1.22358,0,19.58,0,6.05,6.943,97.4,0.62983,1.60944,403,14.7,4.59,7.402659,0,42.00515,3.8104715
159,254967,1.34284,0,19.58,0,6.05,6.066,100,0.56378,1.60944,403,14.7,6.43,8.124182,0,36.6993,3.410869
160,145073,1.42502,0,19.58,0,8.71,6.51,100,0.56866,1.60944,403,14.7,7.39,12.4119242,0,56.7021,4.9530286
161,185173,1.27346,0,19.58,1,6.05,6.25,92.6,0.5869,1.60944,403,14.7,5.5,7.704433,6.05,37.8125,3.550745
162,301140,1.46336,0,19.58,0,6.05,7.489,90.8,0.67849,1.60944,403,14.7,1.73,8.853328,0,45.30845,4.1048645
163,347961,1.83377,0,19.58,1,6.05,7.802,98.2,0.71329,1.60944,403,14.7,1.92,11.0943085,6.05,47.2021,4.3154045
164,572997,1.51902,0,19.58,1,6.05,8.375,93.9,0.77103,1.60944,403,14.7,3.32,9.190071,6.05,50.66875,4.6647315
165,151544,2.24236,0,19.58,0,6.05,5.854,91.8,0.88459,1.60944,403,14.7,11.64,13.566278,0,35.4167,5.3517695
166,168815,2.924,0,19.58,0,6.05,6.101,93,0.82566,1.60944,403,14.7,9.81,17.6902,0,36.91105,4.995243
167,242448,2.01019,0,19.58,0,6.05,7.912,96.2,0.71584,1.60944,403,14.7,3.7,12.1616495,0,47.8676,4.330832
168,192320,1.80028,0,19.58,0,6.05,5.877,79.2,0.8862,1.60944,403,14.7,12.14,10.891694,0,35.55585,5.36151
169,172352,2.3004,0,19.58,0,6.05,6.319,96.1,0.74194,1.60944,403,14.7,11.1,13.91742,0,38.22995,4.488737
171,138084,1.20742,0,19.58,0,6.05,5.875,94.6,0.8862,1.60944,403,14.7,14.43,7.304891,0,35.54375,5.36151
172,144983,2.3139,0,19.58,0,6.05,5.88,97.3,0.87075,1.60944,403,14.7,12.03,13.999095,0,35.574,5.2680375
173,175114,0.13914,0,4.05,0,5.1,5.572,88.5,0.95401,1.60944,296,16.6,14.69,0.709614,0,28.4172,4.865451
175,164386,0.08447,0,4.05,0,5.1,5.859,68.7,0.99395,1.60944,296,16.6,9.64,0.430797,0,29.8809,5.069145
176,176753,0.06664,0,4.05,0,5.1,6.546,33.1,1.14177,1.60944,296,16.6,5.33,0.339864,0,33.3846,5.823027
178,159661,0.05425,0,4.05,0,5.1,6.315,73.4,1.19921,1.60944,296,16.6,6.29,0.276675,0,32.2065,6.115971
179,244192,0.06642,0,4.05,0,5.1,6.86,74.4,1.06997,1.60944,296,16.6,6.92,0.338742,0,34.986,5.456847
180,330970,0.0578,0,2.46,0,4.88,6.98,58.4,1.03992,1.09861,193,17.8,5.04,0.282064,0,34.0624,5.0748096
181,234614,0.06588,0,2.46,0,4.88,7.765,83.3,1.00832,1.09861,193,17.8,7.56,0.3214944,0,37.8932,4.9206016
182,217427,0.06888,0,2.46,0,4.88,6.144,62.2,0.9547,1.09861,193,17.8,9.45,0.3361344,0,29.98272,4.658936
184,263447,0.10008,0,2.46,0,4.88,6.563,95.6,1.04626,1.09861,193,17.8,5.68,0.4883904,0,32.02744,5.1057488
185,128853,0.08308,0,2.46,0,4.88,5.604,89.8,1.09457,1.09861,193,17.8,13.98,0.4054304,0,27.34752,5.3415016
186,133827,0.06047,0,2.46,0,4.88,6.153,68.8,1.18775,1.09861,193,17.8,13.15,0.2950936,0,30.02664,5.79622
187,299334,0.05602,0,2.46,0,4.88,7.831,53.6,1.1629,1.09861,193,17.8,4.45,0.2733776,0,38.21528,5.674952
188,259988,0.07875,45,3.44,0,4.37,6.782,41.1,1.332,1.60944,398,15.2,6.68,0.3441375,0,29.63734,5.82084
189,177682,0.12579,45,3.44,0,4.37,6.556,29.1,1.51879,1.60944,398,15.2,4.56,0.5497023,0,28.64972,6.6371123
190,237075,0.0837,45,3.44,0,4.37,7.185,38.9,1.51879,1.60944,398,15.2,5.39,0.365769,0,31.39845,6.6371123
191,237071,0.09086,45,3.44,0,4.37,6.951,21.5,1.86869,1.60944,398,15.2,5.1,0.3970582,0,30.37587,8.1661753
192,245693,0.06911,45,3.44,0,4.37,6.739,30.8,1.86869,1.60944,398,15.2,4.69,0.3020107,0,29.44943,8.1661753
194,325402,0.02187,60,2.93,0,4.01,6.8,9.9,1.8277,0,265,15.6,5.03,0.0876987,0,27.268,7.329077
195,240104,0.01439,60,2.93,0,4.01,6.604,18.8,1.8277,0,265,15.6,4.38,0.0577039,0,26.48204,7.329077
196,348078,0.01381,80,0.46,0,4.22,7.875,32,1.73137,1.38629,255,14.4,2.97,0.0582782,0,33.2325,7.3063814
197,352717,0.04011,80,1.52,0,4.04,7.287,34.1,1.98911,0.69315,329,12.6,4.08,0.1620444,0,29.43948,8.0360044
198,211962,0.04666,80,1.52,0,4.04,7.107,36.6,1.98911,0.69315,329,12.6,8.61,0.1885064,0,28.71228,8.0360044
199,301109,0.03768,80,1.52,0,4.04,7.274,38.3,1.98911,0.69315,329,12.6,6.62,0.1522272,0,29.38696,8.0360044
200,230781,0.0315,95,1.47,0,4.03,6.975,15.3,2.03515,1.09861,402,17,4.56,0.126945,0,28.10925,8.2016545
201,268540,0.01778,95,1.47,0,4.03,7.135,13.9,2.03515,1.09861,402,17,4.45,0.0716534,0,28.75405,8.2016545
202,185716,0.03445,83,2.03,0,4.15,6.162,38.4,1.83578,0.69315,348,14.7,7.43,0.1429675,0,25.5723,7.618487
203,324041,0.02177,83,2.03,0,4.15,7.61,15.7,1.83578,0.69315,348,14.7,3.11,0.0903455,0,31.5815,7.618487
204,245184,0.0351,95,2.68,0,4.16,7.853,33.2,1.63276,1.38629,224,14.7,3.81,0.146016,0,32.66848,6.7922816
205,430744,0.02009,95,2.68,0,4.16,8.034,31.9,1.63276,1.38629,224,14.7,2.88,0.0835744,0,33.42144,6.7922816
206,153867,0.13642,0,10.59,0,4.89,5.891,22.3,1.37255,1.38629,277,18.6,10.87,0.6670938,0,28.80699,6.7117695
207,205934,0.22969,0,10.59,0,4.89,6.326,52.5,1.4713,1.38629,277,18.6,10.97,1.1231841,0,30.93414,7.194657
208,97488,0.25199,0,10.59,0,4.89,5.783,72.7,1.4713,1.38629,277,18.6,18.06,1.2322311,0,28.27887,7.194657
209,165706,0.13587,0,10.59,1,4.89,6.064,59.1,1.44437,1.38629,277,18.6,14.66,0.6644043,4.89,29.65296,7.0629693
210,163974,0.43571,0,10.59,1,4.89,5.344,100,1.35454,1.38629,277,18.6,23.09,2.1306219,4.89,26.13216,6.6237006
211,98445,0.17446,0,10.59,1,4.89,5.96,92.1,1.35509,1.38629,277,18.6,17.27,0.8531094,4.89,29.1444,6.6263901
212,136961,0.37578,0,10.59,1,4.89,5.404,88.6,1.29883,1.38629,277,18.6,23.98,1.8375642,4.89,26.42556,6.3512787
213,99538,0.21719,0,10.59,1,4.89,5.807,53.8,1.29544,1.38629,277,18.6,16.03,1.0620591,4.89,28.39623,6.3347016
214,177084,0.14052,0,10.59,0,4.89,6.375,32.3,1.37255,1.38629,277,18.6,9.38,0.6871428,0,31.17375,6.7117695
215,103534,0.28955,0,10.59,0,4.89,5.412,9.8,1.27745,1.38629,277,18.6,29.55,1.4158995,0,26.46468,6.2467305
217,185068,0.0456,0,13.89,1,5.5,5.888,56,1.1353,1.60944,276,16.4,13.51,0.2508,5.5,32.384,6.24415
218,187073,0.07013,0,13.89,0,5.5,6.642,85.1,1.22996,1.60944,276,16.4,9.69,0.385715,0,36.531,6.76478
219,217908,0.11069,0,13.89,1,5.5,5.951,93.8,1.06101,1.60944,276,16.4,17.92,0.608795,5.5,32.7305,5.835555
220,146043,0.11425,0,13.89,1,5.5,6.373,92.4,1.21292,1.60944,276,16.4,10.5,0.628375,5.5,35.0515,6.67106
221,122492,0.35809,0,6.2,1,5.07,6.951,88.5,1.05141,2.07944,307,17.4,9.71,1.8155163,5.07,35.24157,5.3306487
222,173877,0.40771,0,6.2,1,5.07,6.164,91.3,1.11448,2.07944,307,17.4,21.46,2.0670897,5.07,31.25148,5.6504136
224,223921,0.6147,0,6.2,0,5.07,6.618,80.8,1.18543,2.07944,307,17.4,7.6,3.116529,0,33.55326,6.0101301
225,336996,0.31533,0,6.2,0,5.04,8.266,78.3,1.06278,2.07944,307,17.4,4.14,1.5892632,0,41.66064,5.3564112
