date,title,description,best_result_raw,best_result_display,score_type,barbell_lift,set_details,notes,rx_or_scaled,pr,
03/08/2019,Open 19.3,"For Time: 200ft. Dumbbell Overhead Walking Lunge (50/35) 50 Dumbbell Box Step-ups (50/35) 50 Strict Handstand Push-ups 200ft. Handstand Walk 10 minute cap. If completed, record total reps and put time in comments.",108,108,Reps,,"[{""reps"":108}]","NSTR on first 90 reps, pretty much a buy-in 3:00 for OH Walking Lunges & 4:00 for Box Step-ups; went 5+3+2+1+1+1+1+1+1+2 on strict HSPU (+3 PR). Started hating this Pain Threshold WOD at about rep 10 on box Step-ups. 20X HSPU next target.",RX,PR,
03/22/2019,Open 19.5,33-27-21-15-9 reps for time of:• Thrusters• Chest-to-bar pull-upsMen use 95 lb.Women use 65 lb.Time cap: 20 minutes Movement Standards:https://games.crossfit.com/workouts/open/2019/5#movementStandardsScorecard:https://games-assets.crossfit.com/Open-19-5-sdofiw0vnGT.pdf,1200,20:00,Time,,"[{""mins"":20,""secs"":0}]","169 Reps; only good thing about this WOD was walking away w/o tearing so I can get back to regular, progressive programming that gives me some training value.",RX,PR,
04/18/2020,"""Froggin""","Every 5 Minutes x 5 Sets: 200 Meter Run 50 Air Squats200 Meter RunSCALING OPTIONS200m Run-these runs should be maximum 50-60seconds, shorten the distance as needed to keep the intensity high.Air Squat-volume- adjust the volume so that these arent taking much more than 60 seconds. Look back to the Tabatas from Thursday:If you were able to hold close to 20 per round, 50 should be ok.If you were closer to 15, adjust the volume to 35-40If you were 12 or under, adjust to 25 air squats. These 5 min intervals should allow us at least 1:30-2:00 of rest PER ROUND (not just the first!) to achieve the desired stimulus.",210,3:30,Time,,"[{""mins"":3,""secs"":30},{""mins"":3,""secs"":0},{""mins"":3,""secs"":0},{""mins"":3,""secs"":3},{""mins"":3,""secs"":0}]",R1 30 Air Squats*R2 30 Air Squats* + 5 BurpeesR3 30 Air Squats*R4 15 BurpeesR5 30 Air Squats**All 200m Runs & Air Squats Rx+ w/ Baby O in Jeep stroller w/ HR @140-160BPM,RX,,
04/21/2020,"""Oxygen""","3 Rounds:25 Strict Pull-ups400 Meter Run 50 Sit-ups800 Meter RunSCALING OPTIONSStrict Pullup-Ring Row-DB/KB Bent over row (40 reps)SitupsVolume- No less than 30Leg RaisedAccumulte 90s Plank HoldRun-Shorten distances as needed 300m/600m, 200m/400m",2760,46:00:00,Time,,"[{""mins"":46,""secs"":0}]","140BPM avg., 163BPM max, 580 Total Cals15:00/18:00/13:00KB Renegades/run/Ab-Mat/run1:45/3:00/3:00/7:00KB Renegades/run/Ab-Mat/run+walk*1:45/3:00/3:00/10:00KB Renegades/Echo Bike/Ab-Mat/Echo Bike1:45/2:45/3:15/5:15*Right calf strain started shooting pains again, had to walk last 100m",RX,,
04/24/2020,HEIDI,AMRAP 2323 Air Squats23 Pushups23 DB/KB American Swings23 Jumping Lunges23 Situps23 Box JumpsSCALING OPTIONSPushups-Incline Pushups-Knee PushupsJumping Lunges-Back Step LungesBox Jumps-Step Ups,3,3,Rounds + Reps,,"[{""reps"":0,""rnds"":3}]","Air SqtHRPU(35# KBS)(Step-back Lunges)Ab-MatBJ 24"" (Step-down)#rightCalfStrainRIP Heidi, salute to your service.",RX,,
04/25/2020,"""Wedding March""","For Time: 50 Burpees1 Mile Run75 Alternating DB Snatches1 Mile Run100 Meter Walking LungeSCALING OPTIONSTotal Volume-35 Burpees, 800m Runs, 50 DB Snatches, 50m walking lungeBurpees-bodybuildersRun -reduce volume, 1200m, 800mDB Snatch-KB snatch-DB or KB American swing-Odd Object Ground to OverheadWalking Lunges-reduce volume, 75m, 50m-Alternating reverse lunges-Air squats",1305,21:45,Time,,"[{""mins"":21,""secs"":45}]",Aerobic Capacity @144BPM:30 Burpees30 Cals Echo Bike30 Alt KB Snatch 35#30 Cals Echo Bike30 Alt Lunges ea leg#ActiveRecovery,SCALED,,
05/17/2020,"""Supple Sunday""",3 Giant Sets:9 Front Plank to Push-up Planks1:00 Left Elbow Plank1:00 Right Elbow Plank15 Hollow Rocks1:00 Left Elbow Plank1:00 Right Elbow Plank21 V-Ups,0,Completed,Other / Text,,"[{""other"":""Completed""}]","EMOM 21 ""Ab-domination"":15/:15 WRC L/R Planksflushed some weakness.#basementWOD",RX,,
08/21/2020,Front Squat 5-3-1-5,Front Squat for load: #1: 5 reps @ 40% #2: 3 reps @ 60% #3: 1 rep @ 70% #4: 5 reps @ 80%,245,245,Load,Front Squat,"[{""load"":135,""success"":true},{""load"":185,""success"":true},{""load"":225,""success"":true},{""load"":245,""success"":true}]",5RM FS performed as FS/BS mashup 5/8,RX,,
02/08/2021,Strength,Bench Press: 3x5 @55/65/75% T1RM,220,220,Load,,"[{""load"":170,""success"":true},{""load"":200,""success"":true},{""load"":220,""success"":true}]",135/165/185 +35# ChainsRFD @BattleRattle tempo -= last rep started slow but technically good rep,RX,,
02/08/2021,Strength,Deadlift:• 5 reps at 50% T1RM• 3 reps at 60% T1RM• 1 set at 70% T1RM• AMRAP at 75% T1RM*Rest as needed between sets.,15,15,Reps,,"[{""reps"":15}]",15x282 #UBRawStrapd #NoBelt @RPE9 had more in me 🥶 bar losing feeling in fingertipsBuilds: 5x185, 3x225, 1x275,RX
02/08/2021,Oly,8x3 Power Clean @65% 1RM E1.5MOM,165,165,Load,,"[{""load"":125,""success"":true},{""load"":125,""success"":true},{""load"":135,""success"":true},{""load"":135,""success"":true},{""load"":155,""success"":true},{""load"":165,""success"":true},{""load"":165,""success"":true},{""load"":165,""success"":true}]",,RX,,
02/08/2021,Conditioning,"3 Rounds for Total Time:500m Row or 25-Cal Bike30 Unbroken Wall Ball Shots (20/14)*3:00 RestL2: (14/10)L1: (10/8)*If a set of wall ball shots is broken, perform 5 burpees and finish the set*20:00 cap",1260,21:00,Time,,"[{""mins"":7,""secs"":0},{""mins"":8,""secs"":0},{""mins"":6,""secs"":0}]",20:00+1:00 Echo BikeRd1 UB @ConversationalPace+Rd2 10+12+8Rd3 20+10#ColdPoleBarn fighting loss feeling in fingertips/toes,RX,,
02/08/2021,Warm-up,2 rounds:• 200 m Run• 10 Air Squats2 rounds:• 30 sec Couch Stretch Right• 30 sec Couch Stretch Left• 30 sec Goblet Squat Hold 53/35#• 30 sec Pike Stretch• 30 sec Straddle Stretch• 30 sec Goblet Squat Hold 53/35#,1,Yes,Checkbox,,"[{""boolean"":1}]",,RX,,
02/09/2021,Warm-up,1) 25 Cals Row/Air Bike or 400m Jog2) 100 Single-Unders---Note: Grease gears prior to starting METCON alt. Ea movement OTM,1,Yes,Checkbox,,"[{""boolean"":1}]",,RX,,
02/09/2021,Good Morning,"2) 5x5 Good Mornings @40% T1RM BS, rest 60 sec.",150,150,Load,,"[{""load"":145,""success"":true},{""load"":145,""success"":true},{""load"":142,""success"":true},{""load"":150,""success"":true},{""load"":150,""success"":true}]",2x145 @115+30# bands1x142 straight2x150 @115+35# chains,RX,,
02/09/2021,Core,1a) Standing Band Ab-Pulldown: accumulate 75 reps1b) Loaded Russian Twists: accumulate 150 reps,35,35,Reps,,"[{""reps"":25},{""reps"":10}]",Combined w/ Rd2 of todays #PredCON,RX,,
02/09/2021,Pendlay Row,1) Pendlay Rows: 3x10 @ 50% T1RM BP,135,135,Load,,"[{""load"":135,""success"":true},{""load"":135,""success"":true},{""load"":135,""success"":true}]",115# +50# bands,RX,,
02/09/2021,Conditioning,"3 RFT:.5 Mile Bike25 Kettlebell Swings (53/35)25 Overhead Walking Lunges, alternating (45/25)50 Ab-Mat Sit-ups*Scale KB and bumper plate weight as needed*23:00 cap",600,10:00,Time,,"[{""mins"":7,""secs"":0},{""mins"":3,""secs"":0}]","#PredCON 10:00 self-capped work-life interference += #Ro3Kids-3 + A6 bizRd1 7:00 @RxRd2 3:00 => .5mi bike, 25 Ab Pull-downs, 10 Loaded Russian Twists @20# Med BallRd3 DNA",RX,,
02/10/2021,Open 11.2,"Complete as many rounds and reps as possible in 15 minutes of:• 9 Deadlifts (M: 155lbs / 70kg, W: 100lbs / 45kg)• 12 Push-ups• 15 Box jumps (M: 24"", W: 20"")",7,7,Rounds + Reps,,"[{""reps"":0,""rnds"":7}]","Not bad for feeling #DOMSinated from yesterday GM #AbDomination session; pain never went away but numbed >= Rd3DLs @UB, PUs @HRPU, BJs @StepDown",RX,PR,
02/10/2021,Finisher,- Banded Leg Curls: accumulate 100 reps/leg- Banded Glute Bridges w/1 ct @ top x 10 reps x 3 sets,130,130,Reps,,"[{""reps"":100},{""reps"":30}]",1) 50+25+25 @30# g-hitched @bar off bench2) 3x10 @65# across pegs,RX,,
02/10/2021,Warm-up,"1) 500m Row/25-Cal Air Bike or 400m Jog2a) 3x5, 1x3, 1x1 Cleans, up to 73% T1RM BSNote: Perform as fast 1Xs2b) 5 Burpee Broad Jump after each set Cleans",0,25 Cals,Other / Text,,"[{""other"":""25 Cals""},{""other"":""185""},{""other"":""84\""""}]","1) Tabata Bike :10/:202) 2x5 @135, 1x5 @155, 1x3 @165, 1x1 @1853) All reps approx 72-84"" & explosive",RX,,
02/11/2021,Chin-ups,"Chin-ups (Strict, weighted if possible) 3x10 @ 35% 1RM Strict Pull-up",10,10,Reps,,"[{""reps"":5},{""reps"":3},{""reps"":2}]","BW+35# KBFeeling every rep, DL #DOMSinated",RX,,
02/11/2021,Core,6 rounds:• 20 sec Hollow Body Rock• 10 sec Rest• 20 sec Superman Rock• 10 sec Rest,0,No,Checkbox,,"[{""boolean"":0}]",,RX,,
02/11/2021,Reverse Hypers,Banded Reverse Hyperextension: 3x10*ref notes for alternatives presuming you dont have access to GHD or Reverse Hyperextension Machine,30,30,Reps,,"[{""reps"":10},{""reps"":10},{""reps"":10}]","Red Band @30# 30"" box w/ Ab-Mat & 70# KB counterweight. These hit the 🎯 Back feeling better after",RX,,
02/11/2021,Skill,3) 4 RFQ*:5 HSPU10 T2B30 Double-unders,600,10:00,Time,,"[{""mins"":4,""secs"":0},{""mins"":2,""secs"":0},{""mins"":2,""secs"":0},{""mins"":2,""secs"":0}]",@:20/:40 WRC for 4x30 UB DUs #Polebarn1x5 sHSPU @1:1 WRC #Basement #BeastRig 2x5 sT2B  @1:1 WRC #Basement #BeastRig,SCALED,,
02/11/2021,Finisher,"- Belted Banded March w/ 20/14# Med Ball: 3 x 1:00 for reps- Lateral Overhead Band Raises: Accumulate 50 reps*ref notes if you need refresher on how to ""build ass"" 😉",200,200,Reps,,"[{""reps"":150},{""reps"":50}]",1) 3x502) 5x10 @30#,RX,,
02/11/2021,Warm-up,Every 3:00 x 3 Rounds (9:00 total):50 Single-unders5 Toes-to-Bar5 Reverse Burpees,60,60,Reps,,"[{""reps"":60},{""reps"":60},{""reps"":60}]",2:45 avg split #BasementWOD:Subd line-hops for SinglesStrict T2BRev Burpees RxdLow-right #BackPain tender today,SCALED,,
02/12/2021,Strict Press,Strict Press:• 5 reps at 50% T1RM• 3 reps at 60% T1RM• 1 set at 70% T1RM• AMRAP at 75% T1RM*Rest as needed between sets.,11,11,Reps,,"[{""reps"":5},{""reps"":3},{""reps"":1},{""reps"":11}]",5x953x1151x130 @95+35# chains11x120 @ME #RawUB #RPE10,RX,,
02/12/2021,Power Snatch,8x3 Power Snatch @65% 1RM E1.5MOM,145,145,Load,,"[{""load"":95,""success"":true},{""load"":95,""success"":true},{""load"":95,""success"":true},{""load"":115,""success"":true},{""load"":115,""success"":true},{""load"":145,""success"":true},{""load"":145,""success"":true},{""load"":145,""success"":true}]","#LowBackPain subsided after 3rd set += felt dialed-in on working sets ""Walk on home--boy!""",RX,,
02/12/2021,Back Squat,Back Squat: 3x5 @50/60/70% +20% Chains*% based on N/T1RM*,260,260,Load,,"[{""load"":185,""success"":true},{""load"":220,""success"":true},{""load"":260,""success"":true}]",5x185 straight weight5x185+35# chains5x225+35# chains,RX,,
02/12/2021,Warm-up,200 Single-unders3 rounds:• 10 Band Pull-Aparts• 10 Band Good Mornings• 10 Band Pass-thru-to-OHS3 rounds:• 30 sec Scorpion/I-Cross Right• 30 sec Scorpion/I-Cross Left• 30 sec Downward Facing Dog• 30 sec Upward Facing Dog,1,Yes,Checkbox,,"[{""boolean"":1}]",,RX,,
02/12/2021,Conditioning,"12 min E2MOM:15 Overhead Squats 75/55#Max Double UndersEvery 2 min, perform 15 OHS then max double unders in the time remaining. Continue for 12 min (6 rounds). Score is total number of double unders.",325,325,Reps,,"[{""reps"":50},{""reps"":60},{""reps"":75},{""reps"":0},{""reps"":50},{""reps"":90}]",Fn shoe came untied took that set off from DUs & throttled back to #FinishStrong @MEAll DUs UB but lot working against me, fought thru cold & setbacks,RX,
02/13/2021,GPP,5 rounds @conversational pace for working time:200m sled pull power walk @AHAP100 L-Arm Farmer Carry (70/53)100 R-Arm Farmer Carry*Scale weight of farmer carry for unbroken 100 piecesNote: Rest 1:1*Wear a Heart-Rate Monitor if applicable & log your accomplishments.More ideas:1) https://www.t-nation.com/training/predator-conditioning2) https://www.t-nation.com/training/running-man3) https://www.t-nation.com/training/the-very-best-20-minute-workouts,1500,25:00:00,Time,,"[{""mins"":5,""secs"":0},{""mins"":5,""secs"":0},{""mins"":5,""secs"":0},{""mins"":5,""secs"":0},{""mins"":5,""secs"":0}]",Loaded #GorillaCart approx 100# ash from NE corner of property & pulled it back to the woodshed approx 750m += 25:00 w/ rest as needed. #Strongman Cleaned 4X remaining ash Rounds @100# ea & carried 50 loaded into FEL 🚜 #Finisher #MonsterMaul 🪓 4X ash + 6X saved rounds of oak/maple #EmbraceTheSnow #HardwoodPaysOff,SCALED,,
02/15/2021,Strict Press,Strict Press 3x3 @ 40/50/60% N/T1RM +20% Chains* – rest 60-90 sec,130,130,Load,,"[{""load"":100,""success"":true},{""load"":110,""success"":true},{""load"":130,""success"":true}]",3x65+35 chains3x75+35 chains3x95+35 chains @RPE8 81%,RX,,
02/15/2021,Power Clean,8x3 Power Clean @70% 1RM E1.5MOM,170,170,Load,,"[{""load"":135,""success"":true},{""load"":135,""success"":true},{""load"":155,""success"":true},{""load"":165,""success"":true},{""load"":170,""success"":true},{""load"":170,""success"":true},{""load"":170,""success"":true},{""load"":170,""success"":true}]",#Raw,RX,,
02/15/2021,Warm-up,1) 400m Jog2) 3 rounds:• 10 Sit-up to Pike• 10 Sit-up to Straddle• 10 Air Squats3) 3 rounds:• 30 sec Couch Stretch Right• 30 sec Couch Stretch Left• 30 sec Spiderman Lunge Right• 30 sec Spiderman Lunge Left,1,Yes,Checkbox,,"[{""boolean"":1}]",,RX,,
02/15/2021,Back Squat,Hi-Bar Back Squat 8x3 Up to @RPE 7.5/80% E2MOM*load based on N/T1RM BS--see notes for rep range.,300,300,Load,,"[{""load"":185,""success"":true},{""load"":225,""success"":true},{""load"":245,""success"":true},{""load"":255,""success"":true},{""load"":275,""success"":true},{""load"":275,""success"":true},{""load"":275,""success"":true},{""load"":300,""success"":true}]",Last 2X sets #BeltedUB finished @RPE8.5 82% T1RM 6X builds #RawUB *Still dealing w/ #LowBackPain,RX,,
02/15/2021,Conditioning,"For time:50 Double-unders20 Front Rack Walking (or Reverse) Lunges, alt (95/65)15 Lateral Bar-over-Burpees50 Double-unders20 Front Rack (or Reverse) Lunges (135/95)15 Lateral Bar-over-BurpeesL3: : 100 Singles, (75/55, 95/65)L1: 50 Singles, (Goblet Lunges 35/25, 45/30)*12:00 Cap",690,11:30,Time,,"[{""mins"":11,""secs"":30}]",@L3 #LowBackPain Just moving for quality & getting HR up, #PoleBarnWOD limited space to perform lateral burpees & DUs for time.,SCALED,
02/16/2021,Warm-up,1) 25 Cals Row/Air Bike or 400m Jog2) 100 Single-Unders---Note: Grease gears prior to starting METCON alt. Ea movement OTM,1,Yes,Checkbox,,"[{""boolean"":1}]",,RX,,
02/16/2021,Conditioning,"4 Rounds, 20 sec. Work, 40 sec. Resta) Toes-to-Barb) Supine Ring Rowsc) Ball Slams (30/20)L3: Toes-to-RingsL2: Kipping Hanging Knee Raises, Traditional Ring RowsL1: Kipping, Traditional Ring Rows",15,15,Reps,,"[{""reps"":15},{""reps"":15}]",movements Rxd scaled time domain => 4:00 Tabata to get HR up 2x3X @5X reps ea @:20/10 WRC w/ :20/:10 rest b/t sets,SCALED,,
02/16/2021,Pendlay Row,1) Pendlay Rows: 3x8 @ 55% T1RM BP,145,145,Load,,"[{""load"":95,""success"":true},{""load"":145,""success"":true},{""load"":145,""success"":true}]","+30# band, took it easy to start see how response was to shoveling",RX,,
02/16/2021,Good Morning,"2) 5x5 Good Mornings @45% T1RM BS, rest 60 sec.",145,145,Load,,"[{""load"":145,""success"":true},{""load"":145,""success"":true},{""load"":145,""success"":true},{""load"":145,""success"":true},{""load"":145,""success"":true}]","scaled weight 5% -=@40% back tender, no Accommodating Resistance today += shoveled snow to #PoleBarn",SCALED,,
02/16/2021,Core,For time:• 100 AbMat Sit-ups,180,3:00,Time,,"[{""mins"":3,""secs"":0}]",Standing band Ab Pull-downs @65#,SCALED,,
02/17/2021,Open 20.5,"For time, partitioned any way:• 40 muscle-ups• 80-cal. row OR 60-cal. bike*• 120 wall-ball shots♀ 14-lb. ball to 9 ft.♂ 20-lb. ball to 10 ft.Time cap: 20 minutesOfficial scorecard with full workout details and variations: https://games-assets.crossfit.com/af0s9jfw-v7.pdf",190,190,Reps,,"[{""reps"":190}]",@Bike Cals+WBs: 5+10 => 14:15 tie-breakerE30-sec OTM 15:00-TC 1X Ring MU NO MISSES!!#ColdDarkAloneButUnafraid,RX,PR,
02/17/2021,Warm-up,1) 30 Cal Row or 20 Cal Air Bike2) 2 rounds:• 10 Front-to-back Leg Swings /leg• 10 Side-to-side Leg Swings /leg• 10 Band Pass-thru-to-OHS• 10 Band Good Mornings• 30 sec Downward Facing Dog w/ walk• 30 sec T-Spine Med Ball• 30 sec Pigeon Pose Right• 30 sec Pigeon Pose Left• 30 sec Couch Stretch Right• 30 sec Couch Stretch Left3) 2 rounds:•30 sec handstand hold•10 banded air squats•10 ring rows,300,5:00,Time,,"[{""mins"":5,""secs"":0}]","Loaded wood boiler += DLd some rounds, raked some embers, carried some splits; 1/2 tabata bike @:10/:20, 10 banded squats, 10 G2OH @25# plate, 10 ring rows @pike",SCALED,,
02/18/2021,Core,3 rounds:• 10 Russian Twists w/ Plate 25/15#• 10 sec Hollow Body Hold,1,Yes,Checkbox,,"[{""boolean"":1}]",,RX,,
02/18/2021,Romanian Deadlift,Banded RDLs: 3x8 @ 55% T1RM DL*Note: Bar + Band Tension = 55% total resistance,215,215,Load,,"[{""load"":215,""success"":true},{""load"":215,""success"":true},{""load"":215,""success"":true}]",165+50# Bands,RX,,
02/18/2021,Chin-ups,"Chin-ups (Strict, weighted if possible) 3x8 @ 40% 1RM Strict Pull-up",35,35,Load,,"[{""load"":35,""success"":true},{""load"":35,""success"":true},{""load"":35,""success"":true}]",3x8 @BW+35# chains ⛓️,RX,PR,
02/18/2021,Warm-up,"1) 25 Cals Row/Bike/400m Jog2) 100 Single-Unders---3) Grease gears prior to starting METCON w/ pace you can sustain for 1:00*Score is sum of completion times from all three parts, note #3 pace in comments.",300,5:00,Time,,"[{""mins"":3,""secs"":0},{""mins"":1,""secs"":0},{""mins"":1,""secs"":0}]",3) pace: 154 Watts/7 Cals/.33mi@ConversationalPace @RPE5,RX,,
02/18/2021,METCON OPTION B: Bike,10 rounds Bike of:25/18 calories Rest 1:00. *Time cap is 25 minutes.,410,6:50,Time,,"[{""mins"":3,""secs"":30},{""mins"":3,""secs"":20}]","145 Watt avg, ran out of gas/time. Had mtg & too appts",RX,,
02/19/2021,Warm-up,1) 25 Cals Row/Bike or 400m Jog2) 3 rounds:• 7 Jumping Jacks• 7 Push-ups• 7 Air Squats3) 3 rounds:• 30 sec Downward Facing Dog• 30 sec Upward Facing Dog• 30 sec Pigeon Pose Right• 30 sec Pigeon Pose Left,540,9:00,Time,,"[{""mins"":4,""secs"":0},{""mins"":2,""secs"":0},{""mins"":3,""secs"":0}]",tabata Bike :20/:10,RX,,
02/19/2021,Three Wise Men,"“Jeremy”Complete as many rounds and reps as possible in 4 minutes of:5 Hang Squat Snatch (Elite = 185/125 lbs, RX = 135/95 lbs, Scaled = 95/65 lbs)10 Burpees Over the BarbellRest 2 minutes, and then…“Ben”Complete as many rounds and reps as possible in 4 minutes of:10 Power Cleans (Elite = 185/125 lbs, RX = 135/95 lbs, Scaled = 95/65 lbs)20 Pull-UpsRest 2 minutes, and then…“Beau”Complete as many rounds and reps as possible in 4 minutes of:15 Box Jump-Overs (Elite & RX = 24”/20”; Scaled – 24”/20” Step-Overs Allowed)30 Wall Ball Shots (Elite & RX = 20/14 lbs; Scaled – 14/8 lbs)",3.017,3+17,Rounds + Reps,,"[{""reps"":17,""rnds"":3}]",1 Round each + 2 HSn + 15 BJHSn @135# PC @185# PUs @strict 10 Bar + 10 Rings (cold bar 🥶)Note: #redo target 2X Rounds each,RX,PR,
02/19/2021,Deadlift,Deadlift 3x3 @ 60/70/80% RPE7 – rest 60-90 sec.*% base on your N/T1RM DL,325,325,Load,,"[{""load"":255,""success"":true},{""load"":285,""success"":true},{""load"":325,""success"":true}]","off 2"" hi-temps #Raw @81% T1RM",RX,,
02/19/2021,Power Snatch,8x3 Power Snatch @70% 1RM E1.5MOM,165,165,Load,,"[{""load"":95,""success"":true},{""load"":115,""success"":true},{""load"":115,""success"":true},{""load"":145,""success"":true},{""load"":0,""success"":true},{""load"":165,""success"":true},{""load"":165,""success"":true},{""load"":145,""success"":true}]","#Raw thru 115, #StrapdLifters @145+, took set 5 active recovery to tighten/plate-up/kaged hit 165 single set 6, hit #3RM @90% 2RM set 7, back-off set 8",RX,,
02/19/2021,Bench Press,Bench Press 8x3 Up to @RPE 7.5/80% E2MOM*load based on N/T1RM BP,225,225,Load,,"[{""load"":145,""success"":true},{""load"":145,""success"":true},{""load"":185,""success"":true},{""load"":185,""success"":true},{""load"":205,""success"":true},{""load"":225,""success"":true},{""load"":205,""success"":true},{""load"":207,""success"":true}]","Up to 90% T1RM #Str8Weight killz, drop sets @82% consistent RFD",RX,,
02/20/2021,GPP,"Complete AMRAP 8 minutes following the rep scheme:1 Kettlebell Swing (70/53)1 Thruster (95/65)2 Kettlebell Swings2 Thrusters3 Kettlebell Swings3 ThrustersNote: If you complete the round of 3, go on to 4. If you complete 4, go on to 5, etc.L3: (53/35), (75/55)L2: (35/25), (65/45)L1: Russian Kettlebell Swings, Dumbbell Thrusters*Wear a Heart-Rate Monitor if applicable & log your accomplishments.More ideas:1) https://www.t-nation.com/training/predator-conditioning2) https://www.t-nation.com/training/running-man3) https://www.t-nation.com/training/the-very-best-20-minute-workouts",8,8,Rounds + Reps,,"[{""reps"":0,""rnds"":8}]",@L1 wifeys 2x20# DBs @max 120bpm conversational pace,SCALED,,
02/22/2021,Warm-up,1) 300 m Row or 15 cal Bike2) 2 rounds:• 10 Front-to-back Leg Swings /leg• 10 Side-to-side Leg Swings /leg• 10 Banded Passthroughs• 10 Banded Good Mornings3) 3 rounds:• 30 sec Couch Stretch Right• 30 sec Couch Stretch Left• 30 sec Sampson Lunge Right• 30 sec Sampson Lunge Left,480,8:00,Time,,"[{""mins"":2,""secs"":0},{""mins"":3,""secs"":0},{""mins"":3,""secs"":0}]",50# band,RX,,
02/22/2021,Deadlift 8x3,Deadlift for load: #1: 3 reps @ 60% #2: 3 reps @ 65% #3: 3 reps @ 70% #4: 3 reps @ 70% #5: 3 reps @ 75% #6: 3 reps @ 75% #7: 3 reps @ 80% #8: 3 reps @ 80%,300,300,Load,Deadlift,"[{""load"":225,""success"":true},{""load"":245,""success"":true},{""load"":265,""success"":true},{""load"":265,""success"":true},{""load"":285,""success"":true},{""load"":285,""success"":true},{""load"":300,""success"":true},{""load"":300,""success"":true}]",#Raw,RX,,
